指标,Fold1,Fold2,Fold3,Fold4,Fold5,平均值,标准差,平均值±标准差
灵敏度 (Sn),0.7128,0.7213,0.7668,0.7536,0.8018,0.7513,0.0322,0.7513±0.0322
特异性 (Sp),0.7972,0.7942,0.7526,0.7781,0.7414,0.7727,0.0222,0.7727±0.0222
准确率 (Acc),0.7788,0.7783,0.7557,0.7728,0.7546,0.768,0.0107,0.7680±0.0107
马修斯系数 (MCC),0.4537,0.4569,0.4467,0.4642,0.4628,0.4569,0.0064,0.4569±0.0064
精确率 (Precision),0.4949,0.4942,0.4636,0.4864,0.4635,0.4805,0.0142,0.4805±0.0142
F1 分数 (F1),0.5842,0.5865,0.5779,0.5912,0.5875,0.5854,0.0044,0.5854±0.0044
ROC-AUC,0.8359,0.8378,0.8349,0.8376,0.8483,0.8389,0.0048,0.8389±0.0048
PR-AUC (AP),0.5609,0.5734,0.5521,0.5695,0.5951,0.5702,0.0145,0.5702±0.0145
