模型,灵敏度 (Sn),特异性 (Sp),准确率 (Acc),马修斯系数 (MCC),精确率 (Precision),F1 分数 (F1),ROC-AUC,PR-AUC (AP)
Without Sequence Encoder,0.8185±0.0972,0.4384±0.2226,0.5212±0.1534,0.2131±0.1070,0.3025±0.0435,0.4361±0.0396,0.6940±0.0468,0.3564±0.0476
Without Structure Encoder,0.7506±0.0299,0.7643±0.0214,0.7613±0.0107,0.4469±0.0070,0.4711±0.0132,0.5783±0.0051,0.8344±0.0039,0.5578±0.0101
ToxiPep (BAN),0.7513±0.0322,0.7727±0.0222,0.7680±0.0107,0.4569±0.0064,0.4805±0.0142,0.5854±0.0044,0.8389±0.0048,0.5702±0.0145
