指标,Fold1,Fold2,Fold3,Fold4,Fold5,平均值,标准差,平均值±标准差
灵敏度 (Sn),0.7185,0.7251,0.7844,0.7365,0.7885,0.7506,0.0299,0.7506±0.0299
特异性 (Sp),0.7802,0.7811,0.7341,0.7837,0.7424,0.7643,0.0214,0.7643±0.0214
准确率 (Acc),0.7667,0.7689,0.7451,0.7734,0.7524,0.7613,0.0107,0.7613±0.0107
马修斯系数 (MCC),0.4383,0.4447,0.4413,0.4569,0.4531,0.4469,0.007,0.4469±0.0070
精确率 (Precision),0.4767,0.4801,0.4513,0.487,0.4603,0.4711,0.0132,0.4711±0.0132
F1 分数 (F1),0.5732,0.5777,0.573,0.5863,0.5813,0.5783,0.0051,0.5783±0.0051
ROC-AUC,0.8311,0.8339,0.8306,0.8352,0.8414,0.8344,0.0039,0.8344±0.0039
PR-AUC (AP),0.549,0.5617,0.5441,0.5616,0.5726,0.5578,0.0101,0.5578±0.0101
