指标,Fold1,Fold2,Fold3,Fold4,Fold5,平均值,标准差,平均值±标准差
灵敏度 (Sn),0.7076,0.7403,0.8152,0.6891,0.7326,0.7369,0.0431,0.7369±0.0431
特异性 (Sp),0.7977,0.778,0.7159,0.819,0.7868,0.7795,0.0346,0.7795±0.0346
准确率 (Acc),0.7781,0.7698,0.7375,0.7907,0.775,0.7702,0.0177,0.7702±0.0177
马修斯系数 (MCC),0.4501,0.4534,0.4476,0.4615,0.4572,0.454,0.0049,0.4540±0.0049
精确率 (Precision),0.4937,0.4818,0.4444,0.5149,0.4891,0.4848,0.023,0.4848±0.0230
F1 分数 (F1),0.5816,0.5837,0.5753,0.5894,0.5866,0.5833,0.0048,0.5833±0.0048
ROC-AUC,0.8344,0.8378,0.8353,0.8387,0.8457,0.8384,0.004,0.8384±0.0040
PR-AUC (AP),0.5636,0.5707,0.5553,0.5657,0.5844,0.568,0.0096,0.5680±0.0096
