指标,Fold1,Fold2,Fold3,Fold4,Fold5,平均值,标准差,平均值±标准差
灵敏度 (Sn),0.719,0.6991,0.7213,0.7014,0.753,0.7187,0.0193,0.7187±0.0193
特异性 (Sp),0.785,0.8076,0.7817,0.8072,0.7728,0.7909,0.0141,0.7909±0.0141
准确率 (Acc),0.7706,0.784,0.7685,0.7841,0.7684,0.7751,0.0073,0.7751±0.0073
马修斯系数 (MCC),0.4444,0.4553,0.4424,0.4567,0.4576,0.4513,0.0065,0.4513±0.0065
精确率 (Precision),0.4825,0.5032,0.4795,0.5036,0.48,0.4898,0.0112,0.4898±0.0112
F1 分数 (F1),0.5775,0.5852,0.5761,0.5863,0.5863,0.5823,0.0045,0.5823±0.0045
ROC-AUC,0.8312,0.8376,0.8348,0.836,0.8462,0.8371,0.005,0.8371±0.0050
PR-AUC (AP),0.5543,0.5758,0.5546,0.5641,0.5895,0.5676,0.0134,0.5676±0.0134
