指标,Fold1,Fold2,Fold3,Fold4,Fold5,平均值,标准差,平均值±标准差
灵敏度 (Sn),1.0,0.8199,0.7318,0.7379,0.8028,0.8185,0.0972,0.8185±0.0972
特异性 (Sp),0.0,0.4982,0.5733,0.605,0.5154,0.4384,0.2226,0.4384±0.2226
准确率 (Acc),0.218,0.5683,0.6079,0.634,0.578,0.5212,0.1534,0.5212±0.1534
马修斯系数 (MCC),0.0,0.2654,0.252,0.2837,0.2642,0.2131,0.107,0.2131±0.1070
精确率 (Precision),0.218,0.313,0.3235,0.3425,0.3158,0.3025,0.0435,0.3025±0.0435
F1 分数 (F1),0.358,0.453,0.4486,0.4678,0.4533,0.4361,0.0396,0.4361±0.0396
ROC-AUC,0.6013,0.7168,0.7057,0.7272,0.7189,0.694,0.0468,0.6940±0.0468
PR-AUC (AP),0.2629,0.3743,0.3663,0.3938,0.3845,0.3564,0.0476,0.3564±0.0476
